Round,Round Name,Home Team,Away Team,UTC Time,Finished,Started,Cancelled,Awarded,Score,Match Status
26,26,Nantes,Strasbourg,2024-03-16T16:00:00Z,TRUE,TRUE,FALSE,FALSE,1_3,Full-Time
26,26,Lens,Nice,2024-03-16T20:00:00Z,TRUE,TRUE,FALSE,FALSE,1_3,Full-Time
26,26,Brest,Lille,2024-03-17T12:00:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time
26,26,Clermont Foot,Le Havre,2024-03-17T14:00:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time
26,26,Monaco,Lorient,2024-03-17T14:00:00Z,TRUE,TRUE,FALSE,FALSE,2_2,Full-Time
26,26,Reims,Metz,2024-03-17T14:00:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time
26,26,Rennes,Marseille,2024-03-17T16:05:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time
26,26,Montpellier,Paris Saint-Germain,2024-03-17T19:45:00Z,TRUE,TRUE,FALSE,FALSE,2_6,Full-Time
27,27,Lille,Lens,2024-03-29T20:00:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time
27,27,Metz,Monaco,2024-03-30T16:00:00Z,TRUE,TRUE,FALSE,FALSE,2_5,Full-Time
27,27,Lyon,Reims,2024-03-30T20:00:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time
27,27,Lorient,Brest,2024-03-31T11:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time
27,27,Clermont Foot,Toulouse,2024-03-31T13:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 3,Full-Time
27,27,Le Havre,Montpellier,2024-03-31T13:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 2,Full-Time
27,27,Nice,Nantes,2024-03-31T13:00:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time
27,27,Strasbourg,Rennes,2024-03-31T15:05:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time
27,27,Marseille,Paris Saint-Germain,2024-03-31T18:45:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 2,Full-Time
28,28,Lille,Marseille,2024-04-05T19:00:00Z,TRUE,TRUE,FALSE,FALSE,3_1,Full-Time
28,28,Lens,Le Havre,2024-04-06T15:00:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time
28,28,Paris Saint-Germain,Clermont Foot,2024-04-06T19:00:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time
28,28,Brest,Metz,2024-04-07T11:00:00Z,TRUE,TRUE,FALSE,FALSE,4_3,Full-Time
28,28,Montpellier,Lorient,2024-04-07T13:00:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time
28,28,Reims,Nice,2024-04-07T13:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time
28,28,Toulouse,Strasbourg,2024-04-07T13:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time
28,28,Monaco,Rennes,2024-04-07T15:05:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time
28,28,Nantes,Lyon,2024-04-07T18:45:00Z,TRUE,TRUE,FALSE,FALSE,1_3,Full-Time
29,29,Metz,Lens,2024-04-12T19:00:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time
29,29,Strasbourg,Reims,2024-04-13T15:00:00Z,TRUE,TRUE,FALSE,FALSE,3_1,Full-Time
29,29,Rennes,Toulouse,2024-04-13T19:00:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time
29,29,Le Havre,Nantes,2024-04-14T11:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time
29,29,Clermont Foot,Montpellier,2024-04-14T13:00:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time
29,29,Lyon,Brest,2024-04-14T18:45:00Z,TRUE,TRUE,FALSE,FALSE,4_3,Full-Time
30,30,Nice,Lorient,2024-04-19T19:00:00Z,TRUE,TRUE,FALSE,FALSE,3_0,Full-Time
30,30,Nantes,Rennes,2024-04-20T15:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 3,Full-Time
30,30,Lens,Clermont Foot,2024-04-20T19:00:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time
30,30,Le Havre,Metz,2024-04-21T13:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time
30,30,Lille,Strasbourg,2024-04-21T13:00:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time
30,30,Reims,Montpellier,2024-04-21T13:00:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time
30,30,Brest,Monaco,2024-04-21T15:05:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 2,Full-Time
30,30,Toulouse,Marseille,2024-04-21T17:15:00Z,TRUE,TRUE,FALSE,FALSE,2_2,Full-Time
30,30,Paris Saint-Germain,Lyon,2024-04-21T19:00:00Z,TRUE,TRUE,FALSE,FALSE,4_1,Full-Time
29,29,Lorient,Paris Saint-Germain,2024-04-24T17:00:00Z,TRUE,TRUE,FALSE,FALSE,1_4,Full-Time
29,29,Marseille,Nice,2024-04-24T19:00:00Z,TRUE,TRUE,FALSE,FALSE,2_2,Full-Time
29,29,Monaco,Lille,2024-04-24T19:00:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time
31,31,Montpellier,Nantes,2024-04-26T19:00:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time
31,31,Paris Saint-Germain,Le Havre,2024-04-27T19:00:00Z,TRUE,TRUE,FALSE,FALSE,3_3,Full-Time
31,31,Metz,Lille,2024-04-28T11:00:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time
31,31,Clermont Foot,Reims,2024-04-28T13:00:00Z,TRUE,TRUE,FALSE,FALSE,4_1,Full-Time
31,31,Lorient,Toulouse,2024-04-28T13:00:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time
31,31,Strasbourg,Nice,2024-04-28T13:00:00Z,TRUE,TRUE,FALSE,FALSE,1_3,Full-Time
31,31,Rennes,Brest,2024-04-28T15:05:00Z,TRUE,TRUE,FALSE,FALSE,4_5,Full-Time
31,31,Lyon,Monaco,2024-04-28T17:00:00Z,TRUE,TRUE,FALSE,FALSE,3_2,Full-Time
31,31,Marseille,Lens,2024-04-28T19:00:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time
32,32,Toulouse,Montpellier,2024-05-03T17:00:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time
32,32,Lens,Lorient,2024-05-03T19:00:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time
32,32,Le Havre,Strasbourg,2024-05-04T13:00:00Z,TRUE,TRUE,FALSE,FALSE,3_1,Full-Time
32,32,Monaco,Clermont Foot,2024-05-04T15:00:00Z,TRUE,TRUE,FALSE,FALSE,4_1,Full-Time
32,32,Metz,Rennes,2024-05-04T17:00:00Z,TRUE,TRUE,FALSE,FALSE,2_3,Full-Time
32,32,Brest,Nantes,2024-05-04T19:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time
32,32,Lille,Lyon,2024-05-06T19:00:00Z,TRUE,TRUE,FALSE,FALSE,3_4,Full-Time
33,33,Brest,Reims,2024-05-10T19:00:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time
33,33,Nice,Le Havre,2024-05-10T19:00:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time
33,33,Clermont Foot,Lyon,2024-05-12T19:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time
33,33,Marseille,Lorient,2024-05-12T19:00:00Z,TRUE,TRUE,FALSE,FALSE,3_1,Full-Time
33,33,Montpellier,Monaco,2024-05-12T19:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 2,Full-Time
33,33,Nantes,Lille,2024-05-12T19:00:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time
33,33,Paris Saint-Germain,Toulouse,2024-05-12T19:00:00Z,TRUE,TRUE,FALSE,FALSE,1_3,Full-Time
33,33,Rennes,Lens,2024-05-12T19:00:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time
33,33,Strasbourg,Metz,2024-05-12T19:00:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time
32,32,Nice,Paris Saint-Germain,2024-05-15T19:00:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time
32,32,Reims,Marseille,2024-05-15T19:00:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time
34,34,Le Havre,Marseille,2024-05-19T19:00:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time
34,34,Lens,Montpellier,2024-05-19T19:00:00Z,TRUE,TRUE,FALSE,FALSE,2_2,Full-Time
34,34,Lille,Nice,2024-05-19T19:00:00Z,TRUE,TRUE,FALSE,FALSE,2_2,Full-Time
34,34,Lorient,Clermont Foot,2024-05-19T19:00:00Z,TRUE,TRUE,FALSE,FALSE,5_0,Full-Time
34,34,Lyon,Strasbourg,2024-05-19T19:00:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time
34,34,Metz,Paris Saint-Germain,2024-05-19T19:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 2,Full-Time
34,34,Monaco,Nantes,2024-05-19T19:00:00Z,TRUE,TRUE,FALSE,FALSE,4_0,Full-Time
34,34,Reims,Rennes,2024-05-19T19:00:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time
34,34,Toulouse,Brest,2024-05-19T19:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 3,Full-Time
